2021-03-19 15:36:56.728 +01:00 [Information] Application is shutting down...
2021-03-19 15:36:56.733 +01:00 [Debug] Hosting stopping
2021-03-19 15:36:56.786 +01:00 [Debug] Hosting stopped
2021-03-19 15:37:32.151 +01:00 [Debug] Hosting starting
2021-03-19 15:37:32.528 +01:00 [Information] Application started. Press Ctrl+C to shut down.
2021-03-19 15:37:32.533 +01:00 [Information] Hosting environment: "Development"
2021-03-19 15:37:32.536 +01:00 [Information] Content root path: "G:\workspace\VS_2019\Komplex_solution2\MeasurementService"
2021-03-19 15:37:32.536 +01:00 [Debug] Hosting started
2021-03-19 15:37:37.400 +01:00 [Information] 03/19/2021 15:37:37 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,75001;18,229162
2021-03-19 15:37:42.398 +01:00 [Information] 03/19/2021 15:37:42 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,50001;31,25
2021-03-19 15:37:47.383 +01:00 [Information] 03/19/2021 15:37:47 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,62501;23,958338
2021-03-19 15:37:52.431 +01:00 [Information] 03/19/2021 15:37:52 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,62501;28,125
2021-03-19 15:37:57.394 +01:00 [Information] 03/19/2021 15:37:57 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,25001;20,3125
2021-03-19 15:38:02.384 +01:00 [Information] 03/19/2021 15:38:02 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,25001;20,3125
2021-03-19 15:38:07.404 +01:00 [Information] 03/19/2021 15:38:07 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,12501;29,6875
2021-03-19 15:38:12.404 +01:00 [Information] 03/19/2021 15:38:12 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,75001;22,916668
2021-03-19 15:38:17.384 +01:00 [Information] 03/19/2021 15:38:17 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,25001;16,145832
2021-03-19 15:38:22.413 +01:00 [Information] 03/19/2021 15:38:22 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;126,37501;18,75
2021-03-19 15:38:27.399 +01:00 [Information] 03/19/2021 15:38:27 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;124,62501;14,0625
2021-03-19 15:38:32.407 +01:00 [Information] 03/19/2021 15:38:32 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,25001;22,499996
2021-03-19 15:38:37.395 +01:00 [Information] 03/19/2021 15:38:37 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,87501;14,0625
2021-03-19 15:38:42.458 +01:00 [Information] 03/19/2021 15:38:42 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,62501;18,749994
2021-03-19 15:38:47.429 +01:00 [Information] 03/19/2021 15:38:47 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;124,37501;19,791668
2021-03-19 15:38:52.426 +01:00 [Information] 03/19/2021 15:38:52 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;129,875;32,499992
2021-03-19 15:38:57.408 +01:00 [Information] 03/19/2021 15:38:57 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;129,25;18,75
2021-03-19 15:39:02.408 +01:00 [Information] 03/19/2021 15:39:02 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;129,125;25
2021-03-19 15:39:07.399 +01:00 [Information] 03/19/2021 15:39:07 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;129;14,0625
2021-03-19 15:39:12.409 +01:00 [Information] 03/19/2021 15:39:12 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;127,00001;21,875
2021-03-19 15:39:17.421 +01:00 [Information] 03/19/2021 15:39:17 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;126,37501;20,3125
2021-03-19 15:39:22.395 +01:00 [Information] 03/19/2021 15:39:22 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;126,25001;18,75
2021-03-19 15:39:27.389 +01:00 [Information] 03/19/2021 15:39:27 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;125,37501;15,625
2021-03-19 15:39:32.400 +01:00 [Information] 03/19/2021 15:39:32 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;124,00001;24,999994
2021-03-19 15:39:37.416 +01:00 [Information] 03/19/2021 15:39:37 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,37501;21,875
2021-03-19 15:39:42.412 +01:00 [Information] 03/19/2021 15:39:42 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,12501;21,875
2021-03-19 15:39:47.404 +01:00 [Information] 03/19/2021 15:39:47 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,87501;17,708338
2021-03-19 15:39:52.426 +01:00 [Information] 03/19/2021 15:39:52 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,25001;21,249998
2021-03-19 15:39:57.381 +01:00 [Information] 03/19/2021 15:39:57 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,87501;18,75
2021-03-19 15:40:02.385 +01:00 [Information] 03/19/2021 15:40:02 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,12501;23,4375
2021-03-19 15:40:07.392 +01:00 [Information] 03/19/2021 15:40:07 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,75001;20,833338
2021-03-19 15:40:12.394 +01:00 [Information] 03/19/2021 15:40:12 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,75001;21,875
2021-03-19 15:40:17.388 +01:00 [Information] 03/19/2021 15:40:17 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,75001;17,1875
2021-03-19 15:40:22.399 +01:00 [Information] 03/19/2021 15:40:22 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,87501;19,270832
2021-03-19 15:40:27.396 +01:00 [Information] 03/19/2021 15:40:27 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;124,12501;28,125
2021-03-19 15:40:32.402 +01:00 [Information] 03/19/2021 15:40:32 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;123,50001;21,875
2021-03-19 15:40:37.396 +01:00 [Information] 03/19/2021 15:40:37 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,62501;14,583331
2021-03-19 15:40:42.386 +01:00 [Information] 03/19/2021 15:40:42 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,75001;22,916668
2021-03-19 15:40:47.387 +01:00 [Information] 03/19/2021 15:40:47 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,00001;16,145832
2021-03-19 15:40:52.397 +01:00 [Information] 03/19/2021 15:40:52 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,75001;15,625
2021-03-19 15:40:57.378 +01:00 [Information] 03/19/2021 15:40:57 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,50001;18,749994
2021-03-19 15:41:02.389 +01:00 [Information] 03/19/2021 15:41:02 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;122,25001;18,75
2021-03-19 15:41:07.400 +01:00 [Information] 03/19/2021 15:41:07 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,75001;18,75
2021-03-19 15:41:12.387 +01:00 [Information] 03/19/2021 15:41:12 +01:00 Eküldött üzenet: f1160654-6505-4c25-a5e0-2e8ead53bc92;121,62501;15,625
